source_file,match_id,round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,3,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,4,3,1,2,1,1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,4,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,3,3,0,2,2,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,5,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,2,3,-1,2,3,-1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,6,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,2,2,0,3,3,0,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,4,7,Bonsai,attack,22150,19550,2600,1,1,1,2,-1,1,2,-1,3,4,-1,1,allies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,1,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,4,5,-1,0,1,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,2,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,3,5,-2,0,2,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,3,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,3,4,-1,1,2,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,4,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,2,4,-2,1,3,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,5,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,2,3,-1,2,3,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,5,6,Bonsai,attack,12600,19150,-6550,3,0,1,3,-2,1,3,-2,2,4,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,1,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,4,5,-1,0,1,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,2,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,3,5,-2,0,2,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,3,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,2,5,-3,0,3,-3,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,4,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,2,4,-2,1,3,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,5,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,2,3,-1,2,3,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,6,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,2,2,0,3,3,0,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,7,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,1,2,-1,3,4,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,8,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,0,2,-2,3,5,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,9,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,0,1,-1,4,5,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,6,10,Bonsai,attack,10300,19450,-9150,3,1,1,4,-3,0,0,0,5,5,0,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,1,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,5,4,1,1,0,1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,2,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,4,4,0,1,1,0,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,3,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,3,4,-1,1,2,-1,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,4,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,3,3,0,2,2,0,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,5,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,2,3,-1,2,3,-1,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,7,6,Bonsai,attack,14950,23200,-8250,1,4,1,5,-4,1,3,-2,2,4,-2,1,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,1,Bonsai,attack,22700,29650,-6950,2,3,1,6,-5,4,5,-1,0,1,-1,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,2,Bonsai,attack,22700,29650,-6950,2,3,1,6,-5,3,5,-2,0,2,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,3,Bonsai,attack,22700,29650,-6950,2,3,1,6,-5,2,5,-3,0,3,-3,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,4,Bonsai,attack,22700,29650,-6950,2,3,1,6,-5,2,4,-2,1,3,-2,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,8,5,Bonsai,attack,22700,29650,-6950,2,3,1,6,-5,1,4,-3,1,4,-3,0,enemies
match2.json,70a3da90-f3a6-47f3-8b22-e93f44845b16,9,1,Bonsai,attack,15100,27700,-12600,1,2,1,7,-6,5,4,1,1,0,1,0,enemies
